0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:37:13 +0530] GET / HTTP/1.1 200 3523
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:37:28 +0530] POST /login HTTP/1.1 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:37:30 +0530] GET /console HTTP/1.1 200 10687
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:37:30 +0530] GET /console/profilepicture?size=medium&username=ADMINISTRATOR HTTP/1.1 200 692
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:04:43 +0530] GET /console HTTP/1.1 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:04:43 +0530] GET / HTTP/1.1 200 3523
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:05:01 +0530] POST /login HTTP/1.1 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:05:02 +0530] GET /console HTTP/1.1 200 10002
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:05:02 +0530] GET /console/profilepicture?size=medium&username=ADMINISTRATOR HTTP/1.1 200 692
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:05:10 +0530] GET /cpanel HTTP/1.1 200 5252
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:05:12 +0530] GET /cpanel/users HTTP/1.1 200 5598
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:05:15 +0530] GET /cpanel/newuser HTTP/1.1 200 7604
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:09:42 +0530] GET /console HTTP/1.1 200 10002
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:09:42 +0530] GET /console/profilepicture?size=medium&username=ADMINISTRATOR HTTP/1.1 200 692
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET / HTTP/1.1 200 3523
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/bootstrap.css HTTP/1.1 200 129126
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/bootstrap-dialog.css HTTP/1.1 200 2554
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/datepicker.css HTTP/1.1 200 33704
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/sticky-footer-navbar.css HTTP/1.1 200 938
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/morris.css HTTP/1.1 200 443
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/colorbox.css HTTP/1.1 200 4385
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /js/jquery.js HTTP/1.1 200 93435
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/krystal.css HTTP/1.1 200 7246
192.168.1.13 - - [25/Apr/2018:11:35:12 +0530] GET /css/font-awesome.css HTTP/1.1 200 25197
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/additional-methods.min.js HTTP/1.1 200 13819
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/jquery.validate.min.js HTTP/1.1 200 21069
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/bootstrap-datepicker.js HTTP/1.1 200 46821
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/odometer.min.js HTTP/1.1 200 9896
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/bootstrap-dialog.js HTTP/1.1 200 21189
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/bootstrap.js HTTP/1.1 200 55258
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/jquery.highlight.js HTTP/1.1 200 4089
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/morris.js HTTP/1.1 200 60604
192.168.1.13 - - [25/Apr/2018:11:35:13 +0530] GET /js/raphael-min.js HTTP/1.1 200 90647
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /js/typeahead.min.js HTTP/1.1 200 21804
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /js/jquery.colorbox-min.js HTTP/1.1 200 11095
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /js/scripts.js HTTP/1.1 200 16197
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /images/krystal.png HTTP/1.1 200 7835
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1 200 83760
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /images/primeleaf.jpg HTTP/1.1 200 1719
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /images/overlay.png HTTP/1.1 200 182
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /fonts/krystaldms-opensans.woff HTTP/1.1 200 20544
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /fonts/krystaldms-opensanslight.woff HTTP/1.1 200 21744
192.168.1.13 - - [25/Apr/2018:11:35:14 +0530] GET /images/favicon.ico HTTP/1.1 200 1150
192.168.1.13 - - [25/Apr/2018:11:35:58 +0530] POST /login HTTP/1.1 302 -
192.168.1.13 - - [25/Apr/2018:11:35:58 +0530] GET /console HTTP/1.1 200 9974
192.168.1.13 - - [25/Apr/2018:11:35:59 +0530] GET /console/profilepicture?size=medium&username=ADMINISTRATOR HTTP/1.1 200 692
